Instance : nrw1379.tsp
opt distance : 56638
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
5	59016	59889	59470.9
6	58695	59491	59131.6
7	58421	59112	58846.1
8	58303	58810	58576.9
9	58108	58590	58351.2
10	57926	58390	58146
11	57676	58173	57963
12	57439	57997	57795.5
13	57341	57811	57639.8
14	57299	57643	57502.7
15	57177	57564	57385
16	57111	57423	57279.2
17	57040	57319	57184.7
18	56989	57222	57100
19	56929	57118	57031.3
20	56888	57068	56970.5
21	56833	56992	56918.4
22	56801	56932	56874.9
23	56781	56899	56838
24	56751	56861	56805.4
25	56727	56828	56777.2
26	56695	56793	56752.1
27	56689	56768	56727.8
28	56665	56740	56705.2
29	56656	56719	56686.4
30	56651	56699	56671.5
31	56645	56680	56662.1
32	56644	56670	56654.9
33	56644	56664	56649.8
34	56644	56660	56646.6
35	56644	56651	56644.7
36	56644	56647	56644.2
37	56644	56645	56644
38	56644	56645	56644
39	56644	56644	56644
opt count : 0
opt average : 56650.1
convergence generation : 36.5
