Instance : rl5915.tsp
opt distance : 565530
trial : 10
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
12	574623	579105	576853
13	572979	577507	575147
14	571957	575309	573687
15	571088	573854	572441
16	569855	572335	571303
17	569264	571206	570316
18	568382	570478	569443
19	567884	569501	568672
20	567429	568815	568031
21	567041	568155	567501
22	566723	567453	567082
23	566503	567077	566760
24	566261	566760	566498
25	566053	566481	566287
26	565868	566277	566112
27	565814	566103	565970
28	565769	565977	565867
29	565732	565893	565795
30	565679	565798	565747
31	565662	565757	565705
32	565646	565724	565673
33	565637	565699	565656
34	565637	565661	565650
35	565637	565657	565645
36	565637	565650	565640
37	565637	565650	565638
38	565637	565637	565637
opt count : 0
opt average : 565639
convergence generation : 39.9
